a_mri,b_mri,subject_id,scanner_a,scanner_b,session_a,session_b,filename_a,filename_b,ssim
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF1PRI001/anat/sub-03286_ses-OXF1PRI001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT1ACH001/anat/sub-03286_ses-NOT1ACH001_T1w.nii.gz,sub-03286,OXF1PRI001,NOT1ACH001,ses-OXF1PRI001,ses-NOT1ACH001,sub-03286_ses-OXF1PRI001_T1w.nii.gz,sub-03286_ses-NOT1ACH001_T1w.nii.gz,0.1268014837492559
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF1PRI001/anat/sub-03286_ses-OXF1PRI001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT3GEM001/anat/sub-03286_ses-NOT3GEM001_T1w.nii.gz,sub-03286,OXF1PRI001,NOT3GEM001,ses-OXF1PRI001,ses-NOT3GEM001,sub-03286_ses-OXF1PRI001_T1w.nii.gz,sub-03286_ses-NOT3GEM001_T1w.nii.gz,0.1465527703331164
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF1PRI001/anat/sub-03286_ses-OXF1PRI001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT2ING001/anat/sub-03286_ses-NOT2ING001_T1w.nii.gz,sub-03286,OXF1PRI001,NOT2ING001,ses-OXF1PRI001,ses-NOT2ING001,sub-03286_ses-OXF1PRI001_T1w.nii.gz,sub-03286_ses-NOT2ING001_T1w.nii.gz,0.14578080263476292
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF1PRI001/anat/sub-03286_ses-OXF1PRI001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF3TRI001/anat/sub-03286_ses-OXF3TRI001_T1w.nii.gz,sub-03286,OXF1PRI001,OXF3TRI001,ses-OXF1PRI001,ses-OXF3TRI001,sub-03286_ses-OXF1PRI001_T1w.nii.gz,sub-03286_ses-OXF3TRI001_T1w.nii.gz,0.46813866335341603
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF1PRI001/anat/sub-03286_ses-OXF1PRI001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF2PRI001/anat/sub-03286_ses-OXF2PRI001_T1w.nii.gz,sub-03286,OXF1PRI001,OXF2PRI001,ses-OXF1PRI001,ses-OXF2PRI001,sub-03286_ses-OXF1PRI001_T1w.nii.gz,sub-03286_ses-OXF2PRI001_T1w.nii.gz,0.32656612912579297
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT1ACH001/anat/sub-03286_ses-NOT1ACH001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT3GEM001/anat/sub-03286_ses-NOT3GEM001_T1w.nii.gz,sub-03286,NOT1ACH001,NOT3GEM001,ses-NOT1ACH001,ses-NOT3GEM001,sub-03286_ses-NOT1ACH001_T1w.nii.gz,sub-03286_ses-NOT3GEM001_T1w.nii.gz,0.2084338890060931
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT1ACH001/anat/sub-03286_ses-NOT1ACH001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT2ING001/anat/sub-03286_ses-NOT2ING001_T1w.nii.gz,sub-03286,NOT1ACH001,NOT2ING001,ses-NOT1ACH001,ses-NOT2ING001,sub-03286_ses-NOT1ACH001_T1w.nii.gz,sub-03286_ses-NOT2ING001_T1w.nii.gz,0.3361779341894833
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT1ACH001/anat/sub-03286_ses-NOT1ACH001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF3TRI001/anat/sub-03286_ses-OXF3TRI001_T1w.nii.gz,sub-03286,NOT1ACH001,OXF3TRI001,ses-NOT1ACH001,ses-OXF3TRI001,sub-03286_ses-NOT1ACH001_T1w.nii.gz,sub-03286_ses-OXF3TRI001_T1w.nii.gz,0.17729021715526236
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT1ACH001/anat/sub-03286_ses-NOT1ACH001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF2PRI001/anat/sub-03286_ses-OXF2PRI001_T1w.nii.gz,sub-03286,NOT1ACH001,OXF2PRI001,ses-NOT1ACH001,ses-OXF2PRI001,sub-03286_ses-NOT1ACH001_T1w.nii.gz,sub-03286_ses-OXF2PRI001_T1w.nii.gz,0.10628712976327724
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT3GEM001/anat/sub-03286_ses-NOT3GEM001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT2ING001/anat/sub-03286_ses-NOT2ING001_T1w.nii.gz,sub-03286,NOT3GEM001,NOT2ING001,ses-NOT3GEM001,ses-NOT2ING001,sub-03286_ses-NOT3GEM001_T1w.nii.gz,sub-03286_ses-NOT2ING001_T1w.nii.gz,0.19341626106072163
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT3GEM001/anat/sub-03286_ses-NOT3GEM001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF3TRI001/anat/sub-03286_ses-OXF3TRI001_T1w.nii.gz,sub-03286,NOT3GEM001,OXF3TRI001,ses-NOT3GEM001,ses-OXF3TRI001,sub-03286_ses-NOT3GEM001_T1w.nii.gz,sub-03286_ses-OXF3TRI001_T1w.nii.gz,0.16092303422906643
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT3GEM001/anat/sub-03286_ses-NOT3GEM001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF2PRI001/anat/sub-03286_ses-OXF2PRI001_T1w.nii.gz,sub-03286,NOT3GEM001,OXF2PRI001,ses-NOT3GEM001,ses-OXF2PRI001,sub-03286_ses-NOT3GEM001_T1w.nii.gz,sub-03286_ses-OXF2PRI001_T1w.nii.gz,0.0829216017342525
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT2ING001/anat/sub-03286_ses-NOT2ING001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF3TRI001/anat/sub-03286_ses-OXF3TRI001_T1w.nii.gz,sub-03286,NOT2ING001,OXF3TRI001,ses-NOT2ING001,ses-OXF3TRI001,sub-03286_ses-NOT2ING001_T1w.nii.gz,sub-03286_ses-OXF3TRI001_T1w.nii.gz,0.16196358970162347
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-NOT2ING001/anat/sub-03286_ses-NOT2ING001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF2PRI001/anat/sub-03286_ses-OXF2PRI001_T1w.nii.gz,sub-03286,NOT2ING001,OXF2PRI001,ses-NOT2ING001,ses-OXF2PRI001,sub-03286_ses-NOT2ING001_T1w.nii.gz,sub-03286_ses-OXF2PRI001_T1w.nii.gz,0.09289862086855111
/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF3TRI001/anat/sub-03286_ses-OXF3TRI001_T1w.nii.gz,/home/lengjingcheng/datasets/ON-Harmony/ds004712-download/sub-03286/ses-OXF2PRI001/anat/sub-03286_ses-OXF2PRI001_T1w.nii.gz,sub-03286,OXF3TRI001,OXF2PRI001,ses-OXF3TRI001,ses-OXF2PRI001,sub-03286_ses-OXF3TRI001_T1w.nii.gz,sub-03286_ses-OXF2PRI001_T1w.nii.gz,0.5307885594517276
